Rank,Name,State
1,Indian Institute of Technology Madras,Tamil Nadu
2,Indian Institute of Technology Delhi,Delhi
3,Indian Institute of Technology Bombay,Maharashtra
4,Indian Institute of Technology Kanpur,Uttar Pradesh
5,Indian Institute of Technology Kharagpur,West Bengal
6,Indian Institute of Technology Roorkee,Uttarakhand
7,Indian Institute of Technology Guwahati,Assam
8,Indian Institute of Technology Hyderabad,Telangana
9,National Institute of Technology Tiruchirappalli,Tamil Nadu
10,Indian Institute of Technology (Banaras Hindu University) Varanasi,Uttar Pradesh
11,Vellore Institute of Technology,Tamil Nadu
12,Jadavpur University,West Bengal
13,S.R.M. Institute of Science and Technology,Tamil Nadu
14,Anna University,Tamil Nadu
15,Indian Institute of Technology (Indian School of Mines) Dhanbad,Jharkhand
16,Indian Institute of Technology Indore,Madhya Pradesh
17,"National Institute of Technology Karnataka, Surathkal ",Karnataka
18,Indian Institute of Technology Gandhinagar,Gujarat
19,National Institute of Technology Rourkela,Odisha
20,"Birla Institute of Technology and Science, Pilani",Rajasthan
21,National Institute of Technology Warangal,Telangana
22,Indian Institute of Technology Ropar,Punjab
23,Amrita Vishwa Vidyapeetham,Tamil Nadu
24,Jamia Millia Islamia,Delhi
25,National Institute of Technology Calicut,Kerala
26,Siksha `O` Anusandhan,Odisha
27,Delhi Technological University,Delhi
28,Indian Institute of Technology Jodhpur,Rajasthan
29,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Punjab
30,Amity University,Uttar Pradesh
31,Indian Institute of Technology Mandi,Himachal Pradesh
32,Chandigarh University,Punjab
33,Aligarh Muslim University,Uttar Pradesh
34,Indian Institute of Technology Patna,Bihar
35,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Andhra Pradesh
36,Kalasalingam Academy of Research and Education,Tamil Nadu
37,Kalinga Institute of Industrial Technology,Odisha
38,Shanmugha Arts Science Technology and Research Academy,Tamil Nadu
39,Visvesvaraya National Institute of Technology Nagpur,Maharashtra
40,National Institute of Technology Silchar,Assam
41,Institute of Chemical Technology,Maharashtra
42,UPES,Uttarakhand
43,Malaviya National Institute of Technology,Rajasthan
44,National Institute of Technology Durgapur,West Bengal
45,National Institute of Technology Delhi,Delhi
46,Sri Sivasubramaniya Nadar College of Engineering,Tamil Nadu
47,International Institute of Information Technology Hyderabad,Telangana
48,Birla Institute of Technology,Jharkhand
49,"Indian Institute of Engineering Science and Technology, Shibpur",West Bengal
50,Lovely Professional University,Punjab
51,Indian Institute of Space Science and Technology,Kerala
52,Graphic Era University,Uttarakhand
53,Saveetha Institute of Medical and Technical Sciences,Tamil Nadu
54,Indian Institute of Technology Bhubaneswar,Odisha
55,National Institute of Technology Patna,Bihar
56,Manipal Institute of Technology,Karnataka
57,Netaji Subhas University of Technology (NSUT),Delhi
58,Dr. B R Ambedkar National Institute of Technology Jalandhar,Punjab
59,Sardar Vallabhbhai National Institute of Technology,Gujarat
60,Motilal Nehru National Institute of Technology,Uttar Pradesh
61,Indian Institute of Technology Tirupati,Andhra Pradesh
62,Indian Institute of Technology Jammu,Jammu and Kashmir
63,Defence Institute of Advanced Technology,Maharashtra
64,Indian Institute of Technology Palakkad,Kerala
64,"Manipal University, Jaipur",Rajasthan
66,Sathyabama Institute of Science and Technology,Tamil Nadu
67,PSG College of Technology,Tamil Nadu
68,National Institute of Technology Meghalaya,Meghalaya
69,Visvesvaraya Technological University,Karnataka
70,University of Hyderabad,Telangana
71,National Institute of Technology Raipur,Chhattisgarh
72,Maulana Azad National Institute of Technology,Madhya Pradesh
73,Indian Institute of Technology Bhilai,Chhattisgarh
74,International Institute of Information Technology Bangalore,Karnataka
75,M. S. Ramaiah Institute of Technology,Karnataka
76,Sant Longowal Institute of Engineering and Technology,Punjab
77,COEP Technological University,Maharashtra
78,Banasthali Vidyapith,Rajasthan
79,National Institute of Technology Srinagar,Jammu and Kashmir
80,Rajiv Gandhi Institute of Petroleum Technology,Uttar Pradesh
81,National Institute of Technology Kurukshetra,Haryana
82,National Institute of Technology Agartala,Tripura
83,Sri Krishna College of Engineering and Technology,Tamil Nadu
84,Madan Mohan Malaviya University of Technology,Uttar Pradesh
85,Indraprastha Institute of Information Technology,Delhi
86,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Tamil Nadu
87,Indian Institute of Information Technology Allahabad,Uttar Pradesh
88,Jawaharlal Nehru Technological University,Telangana
89,Guru Gobind Singh Indraprastha University,Delhi
90,AU College of Engineering (A),Andhra Pradesh
91,"Vignan's Foundation for Science, Technology and Research",Andhra Pradesh
92,Shoolini University of Biotechnology and Management Sciences,Himachal Pradesh
93,Christ University,Karnataka
94,Chitkara University,Punjab
95,"Jain University, Bangalore",Karnataka
96,"C.V. Raman Global University, Odisha",Odisha
97,National Institute of Technology Puducherry,Pondicherry
98,SR University,Telangana
99,R.V. College of Engineering,Karnataka
100,Siddaganga Institute of Technology,Karnataka
